DATE DE MISE A JOUR DES TARIFS : 27/09/2019;
Code article;Marque;Famille;Sous-famille;PVGC T.T.C.;Coeff.;Commentaires;P;Gamme;Prix facture fournisseur;R HF D;R HF C;R P PR;Prix net fournisseur;Prix net grossiste;Code barre;
T26BB46N0;NEFF;CUISSON;Plaque gaz;379;2.2;CTM;P;;189.6;9;0;0;172.54;189.57;4242004212089;
T26DS49N0;NEFF;CUISSON;Plaque gaz;399;2.23;;P;R;196.36;9;0;0;178.69;194.13;4242004203384;
T29TA79N0;NEFF;CUISSON;Plaque gaz;1439;2.24;;P;;706.92;9;0;0;643.3;698.88;4242004203636;
T26DS19N0;NEFF;CUISSON;Plaque gaz;419;2.23;;P;R;206.18;9;0;0;187.62;203.84;4242004203353;
T26CS12S0;NEFF;CUISSON;Plaque gaz;489;2.23;;P;O;240.54;9;0;0;218.89;237.81;4242004203315;
T58TS6BN0;NEFF;CUISSON;Plaque induction;3649;2.24;;P;;1791.85;9;0;0;1630.58;1771.46;4242004214779;
T68PS61X0;NEFF;CUISSON;Plaque induction;1539;2.24;;P;R;756.01;9;0;0;687.97;747.41;4242004195122;
T57TT60N0;NEFF;CUISSON;Plaque induction;1179;2.24;;P;;579.28;9;0;0;527.14;572.69;4242004191926;
T59PS51X0;NEFF;CUISSON;Plaque induction;1739;2.24;;P;R;854.19;9;0;0;777.31;844.48;4242004195856;
T56TS51N0;NEFF;CUISSON;Plaque induction;1029;2.24;;P;;505.64;9;0;0;460.13;499.89;4242004191742;
T58UD10X0;NEFF;CUISSON;Plaque induction;1089;2.24;;P;R;535.1;9;0;0;486.94;529.01;4242004189350;
T56UD50X0;NEFF;CUISSON;Plaque induction;799;2.24;;P;L;392.73;9;0;0;357.38;388.26;4242004195733;
T56FT30X0;NEFF;CUISSON;Plaque induction;919;2.24;;P;;451.64;9;0;0;410.99;446.5;4242004190844;
T58TS11N0;NEFF;CUISSON;Plaque induction;1289;2.24;;P;R;633.28;9;0;0;576.28;626.07;4242004192077;
T46UB20X0;NEFF;CUISSON;Plaque induction;629;2.23;;P;L;309.27;9;0;0;281.44;305.76;4242004211624;
T50PS31X0;NEFF;CUISSON;Plaque induction;1719;2.14;CTM;P;;882.05;9;0;0;802.67;898.99;4242004192961;
T56UD30X0;NEFF;CUISSON;Plaque induction;789;2.24;;P;R;387.82;9;0;0;352.92;383.41;4242004191520;
T46FD23X0;NEFF;CUISSON;Plaque induction;669;2.24;;P;L;328.91;9;0;0;299.31;325.17;4242004188902;
T48FD13X0;NEFF;CUISSON;Plaque induction;1059;2.7;;P;;431.17;9;0;0;392.36;426.26;4242004191407;
T56TS61N0;NEFF;CUISSON;Plaque induction;1139;2.24;;P;R;559.64;9;0;0;509.27;553.27;4242004189336;
T36FB10X0;NEFF;CUISSON;Plaque induction;519;2.23;;P;L;255.27;9;0;0;232.3;252.37;4242004195436;
T46UT20X0;NEFF;CUISSON;Plaque induction;959;2.14;CTM;P;;492.3;9;0;0;447.99;501.75;4242004191629;
T56FT60X0;NEFF;CUISSON;Plaque induction;1019;2.24;;P;R;500.73;9;0;0;455.66;495.04;4242004195702;
T68TS61N0;NEFF;CUISSON;Plaque induction;1529;2.24;;P;;751.1;9;0;0;683.5;742.56;4242004190882;
T46FD53X0;NEFF;CUISSON;Plaque induction;779;2.6;CTM;P;;328.91;9;0;0;299.31;325.17;4242004191285;
T36FB20X0;NEFF;CUISSON;Plaque induction;559;2.23;;P;R;274.91;9;0;0;250.17;271.78;4242004195443;
T66TS61N0;NEFF;CUISSON;Plaque induction;1329;2.24;;P;;652.92;9;0;0;594.16;645.49;4242004191704;
T36FD43X0;NEFF;CUISSON;Plaque induction;699;2.14;CTM;P;;358.97;9;0;0;326.66;365.86;4242004195504;
T66PS61X0;NEFF;CUISSON;Plaque induction;1329;2.24;;P;;652.92;9;0;0;594.16;645.49;4242004189381;
T36FB40X0;NEFF;CUISSON;Plaque induction;649;2.59;CTM;P;;274.91;9;0;0;250.17;271.78;4242004195450;
T59FT50X0;NEFF;CUISSON;Plaque induction;1999;2.14;CTM;P;;1025.64;9;0;0;933.33;1045.33;4242004189367;
T16FK40X0;NEFF;CUISSON;Plaque vitrocéramique;429;2.6;CTM;P;;181.63;9;0;0;165.28;179.57;4242004206750;
T11B22X2;NEFF;CUISSON;Plaque vitrocéramique;409;2.23;;P;R;201.27;9;0;0;183.16;198.98;4242004162421;
GI7813E30;NEFF;FROID;Congélateur armoire intégrable;1049;2.24;;P;R;515.46;9;0;0;469.07;509.6;4242004199557;
KI1312F30;NEFF;FROID;Réfrigérateur 1pte intégrable;659;2.24;;P;;324;9;0;0;294.84;320.31;4242004184232;
